,passed hand,4D- agrees diamonds,cue bids,cue bids,
,Promising 4+ sup),,,,
,,,,,
,,,,,
1S,3H*,Sequences identical to those after 1S-3C:,,,
Natural 4+,"6+ hearts, invit",,,,
10-21pts,"9-12pts,","3S- long spade suit, minimum",Natural,Natural,
,no fit (<Hxx),New suit – cue bid,cue bids,cue bid,
,*(FIT-JUMP by,3NT/4H- to play,,,
,passed hand,,,,
,Promising 4+ sup),,,,
,,,,,
,,,,,
1S,3S – 4+ card,New suit – cue bid (limited),cue bids,cue bids,
Natural 4+,limit raise (5-8pts),,,,
10-21pts,(obstructive),3NT- Serious slam try,cue bids,cue bids,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?,
,,,,,
1S,3NT – 4+ card,4C- asks for void,4D/4H/4HS(C)- void,cue bids,
Natural 4+,support 9-13pts,,,,
10-21pts,with ANY void,New suit – cue bid (limited),cue bids,cue bids,
,,,,,
1S,4C/4D/4H-,New suit – cue bid,cue bids,cue bids,
Natural 4+,4+ card support,,,,
10-21pts,"singleton, 9-13pts",,,,
,,,,,
1S,4S,,,,
Natural 4+,limit raise (5-8pts),,,,
10-21pts,,,,,
